Team,Player,Event,Mins,Secs,X,Y,X2,Y2,On/Off-target or Saved,Cross successful or blocked,Thru Pass successful or blocked,Half
LCS(H),12.Iqram,Successful Pass,62,2,28,94,23,78,,,,Second
LCS(H),11.HafNor,Possession Lost,62,3,22,74,-,-,,,,Second
HGU(A),30.Moritz,Successful Pass,62,4,29,72,33,52,,,,Second
HGU(A),37.Zulfahmi,Successful Pass,62,5,34,51,49,79,,,,Second
HGU(A),9.Pedro,Foul,62,12,41,62,-,-,,,,Second
HGU(A),9.Pedro,Yellow Card,62,17,43,65,-,-,,,,Second
LCS(H),2.Henriqu,Set Piece,62,55,43,72,31,94,,,,Second
LCS(H),12.Iqram,Successful Pass,62,59,36,70,20,46,,,,Second
LCS(H),9.Shinwook,Thru Pass,63,2,21,43,13,57,,,successful,Second
LCS(H),10.Lopes,Dribble Attempt,63,4,15,57,7,54,,,,Second
HGU(A),20.Suhaimi,Interception,63,5,8,57,-,-,,,,Second
HGU(A),20.Suhaimi,Stray Pass,63,7,9,54,16,5,,,,Second
LCS(H),3.Tajeli,Cross,63,11,9,7,6,50,,cleared,,Second
HGU(A),21.Nazhim,Interception,63,12,6,47,-,-,,,,Second
LCS(H),9.Shinwook,Foul,63,20,8,45,-,-,,,,Second
LCS(H),11.HafNor,Corner,64,1,2,96,15,87,,,,Second
LCS(H),6.Anu,Cross,64,5,14,82,12,49,,unsuccessful,,Second
HGU(A),9.Pedro,Interception,64,6,12,51,-,-,,,,Second
LCS(H),12.Iqram,Thru Pass,64,10,39,54,9,60,,,successful,Second
LCS(H),2.Henriqu,Shot,64,14,7,59,1,55,woodwork,,,Second
LCS(H),8.Shahdan,Corner,64,57,2,2,6,51,,,,Second
LCS(H),9.Shinwook,Shot,64,59,7,51,1,50,off-target,,,Second
HGU(A),13.Barudin,Successful Pass,65,22,5,47,5,34,,,,Second
HGU(A),6.Kaishu,Successful Pass,65,26,4,37,36,55,,,,Second
HGU(A),30.Moritz,Possession Lost,65,28,37,56,-,-,,,,Second
LCS(H),11.HafNor,Foul,65,31,39,60,-,-,,,,Second
HGU(A),30.Moritz,Set Piece,65,41,41,60,47,90,,,,Second
HGU(A),20.Suhaimi,Successful Pass,65,44,55,89,74,95,,,,Second
HGU(A),10.Shawal,Successful Pass,65,46,67,93,52,85,,,,Second
HGU(A),30.Moritz,Successful Pass,65,49,52,86,30,73,,,,Second
HGU(A),21.Nazhim,Successful Pass,65,52,32,70,17,57,,,,Second
HGU(A),13.Barudin,Successful Pass,65,58,20,57,24,74,,,,Second
HGU(A),21.Nazhim,Successful Pass,66,3,25,76,12,58,,,,Second
HGU(A),13.Barudin,Successful Pass,66,6,12,61,18,44,,,,Second
HGU(A),6.Kaishu,Successful Pass,66,16,27,35,45,31,,,,Second
LCS(H),14.Hariss,Interception,66,16,44,30,-,-,,,,Second
LCS(H),8.Shahdan,Successful Pass,66,17,39,31,37,42,,,,Second
LCS(H),6.Anu,Successful Pass,66,18,37,42,31,31,,,,Second
LCS(H),7.Song,Foul,66,20,28,25,-,-,,,,Second
HGU(A),37.Zulfahmi,Set Piece,66,28,28,9,60,87,,,,Second
HGU(A),10.Shawal,Foul,66,31,61,84,-,-,,,,Second
HGU(A),10.Shawal,Set Piece,66,56,61,83,68,37,,,,Second
LCS(H),14.Hariss,Successful Pass,67,2,69,36,65,5,,,,Second
LCS(H),3.Tajeli,Successful Pass,67,5,70,7,43,3,,,,Second
LCS(H),7.Song,Dribble Attempt,67,11,44,10,32,22,,,,Second
LCS(H),7.Song,Successful Pass,67,11,32,25,29,38,,,,Second
LCS(H),10.Lopes,Thru Pass,67,13,23,45,6,69,,,successful,Second
LCS(H),11.HafNor,Assist,67,15,4,70,9,59,,,,Second
LCS(H),12.Iqram,Shot,67,16,9,61,1,57,Goal,,,Second
HGU(A),9.Pedro,Successful Pass,68,28,50,51,41,50,,,,Second
HGU(A),37.Zulfahmi,Successful Pass,68,29,42,49,45,66,,,,Second
HGU(A),30.Moritz,Successful Pass,68,31,43,65,53,40,,,,Second
HGU(A),14.Kiki,Successful Pass,68,35,48,40,23,35,,,,Second
HGU(A),6.Kaishu,Successful Pass,68,45,28,34,27,59,,,,Second
HGU(A),21.Nazhim,Successful Pass,68,46,30,52,11,49,,,,Second
HGU(A),13.Barudin,Successful Pass,68,50,15,51,21,32,,,,Second
HGU(A),6.Kaishu,Successful Pass,68,57,25,33,27,54,,,,Second
HGU(A),21.Nazhim,Successful Pass,69,0,25,53,37,47,,,,Second
HGU(A),37.Zulfahmi,Successful Pass,69,1,34,49,10,50,,,,Second
HGU(A),13.Barudin,Stray Pass,69,4,19,57,24,45,,,,Second
LCS(H),10.Lopes,Shot,69,4,22,47,0,52,off-target,,,Second
HGU(A),13.Barudin,Successful Pass,69,29,8,38,5,63,,,,Second
HGU(A),21.Nazhim,Successful Pass,69,32,4,68,8,88,,,,Second
LCS(H),11.HafNor,Foul,69,34,9,90,-,-,,,,Second
HGU(A),20.Suhaimi,Set Piece,69,54,15,92,6,84,,,,Second
HGU(A),21.Nazhim,Successful Pass,69,57,8,85,5,62,,,,Second
HGU(A),13.Barudin,Successful Pass,69,59,6,67,11,47,,,,Second
HGU(A),6.Kaishu,Successful Pass,70,13,22,34,41,24,,,,Second
HGU(A),37.Zulfahmi,Possession Lost,70,16,37,37,-,-,,,,Second
LCS(H),7.Song,Successful Pass,70,17,36,20,33,30,,,,Second
LCS(H),9.Shinwook,Successful Pass,70,18,34,31,33,10,,,,Second
HGU(A),37.Zulfahmi,Interception,70,24,35,12,-,-,,,,Second
HGU(A),14.Kiki,Successful Pass,70,25,32,22,20,28,,,,Second
HGU(A),6.Kaishu,Successful Pass,70,26,20,27,26,7,,,,Second
HGU(A),4.Nazrul,Successful Pass,70,27,23,9,34,10,,,,Second
LCS(H),6.Anu,Interception,70,29,34,15,-,-,,,,Second
HGU(A),19.Amy,Stray Pass,70,29,35,13,34,20,,,,Second
LCS(H),6.Anu,Successful Pass,70,32,26,25,20,34,,,,Second
LCS(H),10.Lopes,Successful Pass,70,34,19,34,12,28,,,,Second
HGU(A),4.Nazrul,Interception,70,35,11,30,-,-,,,,Second
HGU(A),4.Nazrul,Successful Pass,70,35,11,30,19,30,,,,Second
HGU(A),6.Kaishu,Successful Pass,70,37,19,32,25,45,,,,Second
HGU(A),30.Moritz,Successful Pass,70,39,29,39,46,88,,,,Second
HGU(A),10.Shawal,Successful Pass,70,45,57,63,37,78,,,,Second
HGU(A),20.Suhaimi,Successful Pass,70,48,37,80,44,62,,,,Second
HGU(A),37.Zulfahmi,Successful Pass,70,51,45,56,52,45,,,,Second
HGU(A),30.Moritz,Successful Pass,70,55,55,30,72,24,,,,Second
HGU(A),14.Kiki,Successful Pass,70,59,74,24,84,8,,,,Second
HGU(A),19.Amy,Successful Pass,71,2,89,14,96,27,,,,Second
HGU(A),14.Kiki,Cross,71,3,97,27,97,34,,unsuccessful,,Second
LCS(H),14.Hariss,Interception,71,4,97,34,-,-,,,,Second
HGU(A),14.Kiki,Interception,71,8,93,30,-,-,,,,Second
HGU(A),14.Kiki,Successful Pass,71,8,94,29,87,23,,,,Second
HGU(A),19.Amy,Cross,71,11,88,25,98,71,,unsuccessful,,Second
HGU(A),9.Pedro,Cross,71,18,88,90,89,54,,unsuccessful,,Second
LCS(H),8.Shahdan,Interception,71,19,88,55,96,96,,,,Second
HGU(A),20.Suhaimi,Throw,71,33,90,97,96,90,,,,Second
HGU(A),30.Moritz,Possession Lost,71,34,94,93,-,-,,,,Second
LCS(H),12.Iqram,Throw,71,58,91,97,71,87,,,,Second
HGU(A),10.Shawal,Interception,71,58,71,87,-,-,,,,Second
HGU(A),19.Amy,Stray Pass,72,0,55,57,69,52,,,,Second
LCS(H),6.Anu,Interception,72,1,68,52,-,-,,,,Second
LCS(H),6.Anu,Successful Pass,72,2,69,52,55,50,,,,Second
LCS(H),7.Song,Successful Pass,72,3,54,48,55,24,,,,Second
LCS(H),3.Tajeli,Dribble Attempt,72,10,48,19,23,6,,,,Second
LCS(H),3.Tajeli,Thru Pass,72,11,25,6,7,25,,,successful,Second
LCS(H),7.Song,Stray Pass,72,13,6,25,10,34,,,,Second
HGU(A),14.Kiki,Interception,72,14,10,35,-,-,,,,Second
LCS(H),7.Song,Shot,72,17,12,35,1,49,saved,,,Second
HGU(A),21.Nazhim,Stray Pass,72,25,4,30,34,5,,,,Second
LCS(H),14.Hariss,Successful Pass,72,30,40,8,20,3,,,,Second
LCS(H),3.Tajeli,Cross,72,35,20,4,1,65,,unsuccessful,,Second
LCS(H),11.HafNor,Cross,72,44,12,93,3,43,,unsuccessful,,Second
HGU(A),14.Kiki,Set Piece,74,32,42,19,8,46,,,,Second
HGU(A),21.Nazhim,Successful Pass,74,41,21,60,14,35,,,,Second
HGU(A),6.Kaishu,Successful Pass,74,48,19,35,18,62,,,,Second
HGU(A),21.Nazhim,Successful Pass,74,52,20,63,36,62,,,,Second
LCS(H),6.Anu,Foul,74,54,35,62,-,-,,,,Second
LCS(H),10.Lopes,Set Piece,75,4,35,64,44,91,,,,Second
LCS(H),12.Iqram,Successful Pass,75,7,39,91,48,74,,,,Second
LCS(H),2.Henriqu,Successful Pass,75,8,49,80,55,43,,,,Second
LCS(H),14.Hariss,Successful Pass,75,11,55,43,51,9,,,,Second
LCS(H),3.Tajeli,Successful Pass,75,15,53,9,64,29,,,,Second
LCS(H),14.Hariss,Successful Pass,75,18,64,31,64,71,,,,Second
LCS(H),2.Henriqu,Successful Pass,75,22,66,70,43,92,,,,Second
LCS(H),12.Iqram,Successful Pass,75,25,40,89,21,91,,,,Second
LCS(H),7.Song,Dribble Attempt,75,29,26,91,6,90,,,,Second
HGU(A),10.Shawal,Interception,75,31,9,88,-,-,,,,Second
LCS(H),12.Iqram,Throw,76,15,8,97,6,87,,,,Second
LCS(H),10.Lopes,Successful Pass,76,16,6,87,13,92,,,,Second
LCS(H),12.Iqram,Cross,76,17,14,91,12,87,,unsuccessful,,Second
HGU(A),10.Shawal,Interception,76,18,12,89,-,-,,,,Second
LCS(H),12.Iqram,Throw,76,24,18,97,9,94,,,,Second
LCS(H),10.Lopes,Successful Pass,76,29,9,85,17,96,,,,Second
LCS(H),12.Iqram,Successful Pass,76,33,23,93,31,55,,,,Second
LCS(H),8.Shahdan,Successful Pass,76,35,31,56,49,74,,,,Second
LCS(H),2.Henriqu,Successful Pass,76,38,62,77,80,53,,,,Second
LCS(H),18.Hassan,Stray Pass,76,43,78,44,45,1,,,,Second
HGU(A),4.Nazrul,Throw,76,53,43,2,56,10,,,,Second
HGU(A),14.Kiki,Successful Pass,76,54,56,12,45,2,,,,Second
HGU(A),4.Nazrul,Successful Pass,76,56,43,3,40,14,,,,Second
HGU(A),14.Kiki,Successful Pass,76,58,41,11,34,2,,,,Second
HGU(A),4.Nazrul,Successful Pass,76,58,34,5,31,24,,,,Second
HGU(A),37.Zulfahmi,Successful Pass,77,5,41,41,58,62,,,,Second
HGU(A),30.Moritz,Successful Pass,77,8,57,64,81,78,,,,Second
HGU(A),10.Shawal,Cross,77,11,89,90,90,24,,successful,,Second
LCS(H),11.HafNor,Successful Pass,77,16,72,14,86,16,,,,Second
LCS(H),3.Tajeli,Successful Pass,77,20,87,14,67,29,,,,Second
LCS(H),10.Lopes,Successful Pass,77,21,68,32,60,5,,,,Second
LCS(H),11.HafNor,Successful Pass,77,25,65,3,70,17,,,,Second
LCS(H),10.Lopes,Possession Lost,77,26,71,18,-,-,,,,Second
HGU(A),14.Kiki,Interception,77,27,71,19,-,-,,,,Second
HGU(A),37.Zulfahmi,Foul,77,26,71,19,-,-,,,,Second
LCS(H),3.Tajeli,Set Piece,77,55,62,26,25,89,,,,Second
LCS(H),12.Iqram,Possession Lost,77,59,24,96,-,-,,,,Second
HGU(A),20.Suhaimi,Throw,78,13,39,97,47,84,,,,Second
HGU(A),30.Moritz,Successful Pass,78,16,34,75,26,42,,,,Second
HGU(A),6.Kaishu,Successful Pass,78,25,38,28,41,10,,,,Second
HGU(A),4.Nazrul,Stray Pass,78,27,41,13,57,2,,,,Second
LCS(H),3.Tajeli,Throw,78,33,60,2,73,16,,,,Second
LCS(H),14.Hariss,Successful Pass,78,35,72,19,60,27,,,,Second
LCS(H),6.Anu,Successful Pass,78,36,63,27,74,46,,,,Second
LCS(H),2.Henriqu,Successful Pass,78,40,79,49,73,86,,,,Second
LCS(H),12.Iqram,Successful Pass,78,44,74,85,52,86,,,,Second
LCS(H),7.Song,Successful Pass,78,45,54,81,68,77,,,,Second
HGU(A),14.Kiki,Interception,78,48,55,80,-,-,,,,Second
HGU(A),14.Kiki,Throw,78,54,47,94,69,78,,,,Second
HGU(A),30.Moritz,Successful Pass,78,58,70,79,90,83,,,,Second
HGU(A),14.Kiki,Cross,79,0,93,89,98,46,,unsuccessful,,Second
LCS(H),18.Hassan,Interception,79,0,97,47,-,-,,,,Second
LCS(H),18.Hassan,Successful Pass,79,6,96,46,71,43,,,,Second
LCS(H),10.Lopes,Successful Pass,79,9,69,44,49,58,,,,Second
LCS(H),9.Shinwook,Successful Pass,79,12,45,65,21,90,,,,Second
LCS(H),7.Song,Dribble Attempt,79,22,10,81,2,71,,,,Second
LCS(H),7.Song,Foul,79,25,4,70,-,-,,,,Second
HGU(A),6.Kaishu,Successful Pass,81,47,22,37,21,57,,,,Second
HGU(A),21.Nazhim,Successful Pass,81,48,22,59,8,45,,,,Second
HGU(A),13.Barudin,Stray Pass,81,53,6,54,48,98,,,,Second
LCS(H),19.Naqi,Throw,82,14,67,97,54,94,,,,Second
LCS(H),17.Lestienne,Successful Pass,82,17,47,93,53,76,,,,Second
LCS(H),6.Anu,Successful Pass,82,18,56,75,72,86,,,,Second
LCS(H),2.Henriqu,Successful Pass,82,21,73,80,89,53,,,,Second
LCS(H),18.Hassan,Successful Pass,82,27,87,54,39,87,,,,Second
HGU(A),10.Shawal,Interception,82,29,39,85,-,-,,,,Second
LCS(H),19.Naqi,Throw,82,49,65,96,47,85,,,,Second
LCS(H),9.Shinwook,Foul,82,55,44,74,-,-,,,,Second
HGU(A),37.Zulfahmi,Set Piece,83,6,44,73,37,91,,,,Second
HGU(A),11.Afiq,Successful Pass,83,7,36,86,37,62,,,,Second
HGU(A),37.Zulfahmi,Successful Pass,83,10,36,64,13,45,,,,Second
HGU(A),13.Barudin,Successful Pass,83,14,17,45,24,36,,,,Second
HGU(A),6.Kaishu,Successful Pass,83,23,26,31,27,52,,,,Second
HGU(A),21.Nazhim,Possession Lost,83,26,41,52,-,-,,,,Second
LCS(H),9.Shinwook,Thru Pass,83,28,34,51,14,72,,,successful,Second
LCS(H),17.Lestienne,Shot,83,31,16,66,3,50,saved,,,Second
HGU(A),13.Barudin,Stray Pass,83,41,5,47,43,66,,,,Second
LCS(H),19.Naqi,Interception,83,41,43,68,-,-,,,,Second
HGU(A),11.Afiq,Successful Pass,83,44,30,70,42,95,,,,Second
HGU(A),10.Shawal,Successful Pass,83,48,42,93,30,84,,,,Second
HGU(A),11.Afiq,Successful Pass,83,51,33,82,9,58,,,,Second
HGU(A),21.Nazhim,Successful Pass,83,57,23,60,21,40,,,,Second
HGU(A),6.Kaishu,Successful Pass,84,0,22,41,35,44,,,,Second
HGU(A),37.Zulfahmi,Successful Pass,84,1,35,45,21,54,,,,Second
HGU(A),21.Nazhim,Successful Pass,84,3,23,54,7,48,,,,Second
HGU(A),13.Barudin,Successful Pass,84,7,8,48,17,38,,,,Second
HGU(A),6.Kaishu,Successful Pass,84,12,19,47,20,60,,,,Second
HGU(A),21.Nazhim,Successful Pass,84,14,21,57,29,36,,,,Second
HGU(A),37.Zulfahmi,Successful Pass,84,15,30,36,8,45,,,,Second
HGU(A),6.Kaishu,Successful Pass,84,18,10,44,26,53,,,,Second
HGU(A),37.Zulfahmi,Successful Pass,84,19,25,52,10,66,,,,Second
HGU(A),21.Nazhim,Successful Pass,84,25,13,88,13,62,,,,Second
HGU(A),6.Kaishu,Successful Pass,84,30,21,58,22,77,,,,Second
HGU(A),21.Nazhim,Successful Pass,84,31,22,76,8,47,,,,Second
HGU(A),13.Barudin,Successful Pass,84,38,9,48,13,64,,,,Second
HGU(A),21.Nazhim,Successful Pass,84,41,13,64,22,54,,,,Second
HGU(A),37.Zulfahmi,Successful Pass,84,42,21,55,11,67,,,,Second
HGU(A),21.Nazhim,Successful Pass,84,46,10,77,19,92,,,,Second
HGU(A),11.Afiq,Successful Pass,84,48,18,88,32,96,,,,Second
LCS(H),10.Lopes,Interception,84,51,26,92,-,-,,,,Second
HGU(A),11.Afiq,Foul,84,50,29,90,-,-,,,,Second
HGU(A),11.Afiq,Yellow Card,84,57,35,89,-,-,,,,Second
LCS(H),19.Naqi,Set Piece,85,20,34,84,58,91,,,,Second
LCS(H),2.Henriqu,Successful Pass,85,23,68,84,67,49,,,,Second
LCS(H),14.Hariss,Successful Pass,85,27,68,40,56,3,,,,Second
LCS(H),5.Adli,Interception,85,34,56,4,-,-,,,,Second
LCS(H),5.Adli,Throw,85,49,46,1,27,13,,,,Second
LCS(H),5.Adli,Set Piece,86,9,33,7,32,18,,,,Second
HGU(A),37.Zulfahmi,Foul,85,52,30,6,-,-,,,,Second
LCS(H),10.Lopes,Successful Pass,86,11,33,19,45,4,,,,Second
LCS(H),8.Shahdan,Successful Pass,86,15,44,5,55,30,,,,Second
LCS(H),14.Hariss,Successful Pass,86,16,53,31,44,6,,,,Second
LCS(H),8.Shahdan,Successful Pass,86,18,43,9,23,2,,,,Second
LCS(H),5.Adli,Interception,86,22,26,10,-,-,,,,Second
HGU(A),14.Kiki,Interception,86,23,28,13,-,-,,,,Second
LCS(H),6.Anu,Successful Pass,86,25,39,42,49,52,,,,Second
LCS(H),2.Henriqu,Successful Pass,86,31,38,61,13,92,,,,Second
LCS(H),19.Naqi,Cross,86,37,3,81,6,45,,successful,,Second
LCS(H),9.Shinwook,Shot,86,38,7,44,1,56,blocked,,,Second
HGU(A),6.Kaishu,Successful Pass,86,54,14,26,13,15,,,,Second
HGU(A),4.Nazrul,Successful Pass,86,55,11,14,27,9,,,,Second
HGU(A),6.Kaishu,Successful Pass,87,1,38,4,61,3,,,,Second
HGU(A),19.Amy,Successful Pass,87,2,63,5,67,16,,,,Second
HGU(A),14.Kiki,Successful Pass,87,4,71,21,75,41,,,,Second
LCS(H),5.Adli,Interception,87,7,68,26,-,-,,,,Second
LCS(H),6.Anu,Successful Pass,87,9,59,38,55,49,,,,Second
LCS(H),10.Lopes,Dribble Attempt,87,14,55,49,30,44,,,,Second
LCS(H),10.Lopes,Thru Pass,87,14,29,43,8,67,,,successful,Second
LCS(H),17.Lestienne,Assist,87,16,6,69,10,52,,,,Second
LCS(H),10.Lopes,Shot,87,19,11,52,1,56,Goal,,,Second
HGU(A),9.Pedro,Successful Pass,89,35,50,51,41,51,,,,Second
HGU(A),37.Zulfahmi,Successful Pass,89,36,42,48,42,62,,,,Second
HGU(A),30.Moritz,Successful Pass,89,39,43,65,33,91,,,,Second
HGU(A),2.Anders,Successful Pass,89,42,33,87,44,96,,,,Second
HGU(A),24.Amir,Successful Pass,89,44,40,90,23,78,,,,Second
HGU(A),21.Nazhim,Successful Pass,89,46,22,75,37,49,,,,Second
HGU(A),37.Zulfahmi,Successful Pass,89,47,37,51,23,33,,,,Second
HGU(A),6.Kaishu,Successful Pass,89,50,22,30,36,34,,,,Second
HGU(A),37.Zulfahmi,Successful Pass,89,52,38,38,59,36,,,,Second
HGU(A),9.Pedro,Successful Pass,89,53,57,38,62,26,,,,Second
HGU(A),14.Kiki,Successful Pass,89,59,69,28,81,62,,,,Second
HGU(A),24.Amir,Successful Pass,90,0,78,61,83,75,,,,Second
HGU(A),30.Moritz,Cross,90,5,78,80,97,42,,unsuccessful,,Second
LCS(H),18.Hassan,Successful Pass,90,17,89,41,66,25,,,,Second
LCS(H),8.Shahdan,Successful Pass,90,20,66,26,57,4,,,,Second
LCS(H),5.Adli,Successful Pass,90,26,41,4,48,15,,,,Second
LCS(H),8.Shahdan,Successful Pass,90,29,47,16,77,30,,,,Second
LCS(H),14.Hariss,Thru Pass,90,34,69,26,17,46,,,offside,Second
LCS(H),17.Lestienne,Offside,90,37,17,41,-,-,,,,Second
HGU(A),13.Barudin,Successful Pass,90,38,12,47,19,54,,,,Second
HGU(A),21.Nazhim,Set Piece,90,43,23,57,37,78,,,,Second
HGU(A),30.Moritz,Shot,90,48,39,75,99,42,off-target,,,Second
LCS(H),18.Hassan,Successful Pass,91,18,95,55,58,75,,,,Second
LCS(H),10.Lopes,Dribble Attempt,91,19,60,78,26,54,,,,Second
LCS(H),10.Lopes,Thru Pass,91,24,26,54,8,72,,,successful,Second
LCS(H),17.Lestienne,Cross,91,26,6,72,2,31,,successful,,Second
LCS(H),2.Henriqu,Successful Pass,91,48,87,91,93,53,,,,Second
LCS(H),18.Hassan,Successful Pass,91,52,93,51,79,90,,,,Second
LCS(H),19.Naqi,Successful Pass,91,54,79,87,76,61,,,,Second
LCS(H),6.Anu,Successful Pass,91,57,77,64,65,50,,,,Second
HGU(A),6.Kaishu,Interception,92,1,45,49,-,-,,,,Second
HGU(A),6.Kaishu,Successful Pass,92,2,45,50,54,29,,,,Second
HGU(A),10.Shawal,Successful Pass,92,10,71,25,73,54,,,,Second
HGU(A),30.Moritz,Stray Pass,92,13,73,52,78,48,,,,Second
LCS(H),8.Shahdan,Interception,92,13,76,47,-,-,,,,Second
LCS(H),11.HafNor,Successful Pass,92,15,71,32,77,49,,,,Second
LCS(H),8.Shahdan,Successful Pass,92,17,74,49,66,60,,,,Second
HGU(A),24.Amir,Interception,92,17,66,57,-,-,,,,Second
LCS(H),10.Lopes,Interception,92,20,66,74,-,-,,,,Second
LCS(H),10.Lopes,Thru Pass,92,22,65,75,27,85,,,successful,Second
LCS(H),17.Lestienne,Successful Pass,92,29,17,76,22,55,,,,Second
LCS(H),10.Lopes,Successful Pass,92,31,16,54,19,42,,,,Second
LCS(H),9.Shinwook,Successful Pass,92,33,21,46,17,76,,,,Second
LCS(H),17.Lestienne,Cross,92,37,17,75,7,38,,cleared,,Second
LCS(H),10.Lopes,Shot,92,41,13,35,4,43,saved,,,Second
LCS(H),10.Lopes,Successful Pass,92,43,12,40,32,15,,,,Second
HGU(A),30.Moritz,Successful Pass,92,48,52,28,47,47,,,,Second
HGU(A),14.Kiki,Thru Pass,92,51,56,47,82,9,,,successful,Second
HGU(A),10.Shawal,Successful Pass,93,0,97,14,87,16,,,,Second
HGU(A),30.Moritz,Cross,93,2,90,17,88,43,,unsuccessful,,Second
LCS(H),6.Anu,Interception,93,3,86,45,-,-,,,,Second
LCS(H),8.Shahdan,Successful Pass,93,4,81,37,89,64,,,,Second
HGU(A),14.Kiki,Interception,93,8,83,52,-,-,,,,Second
HGU(A),14.Kiki,Shot,93,13,83,51,99,44,saved,,,Second
HGU(A),37.Zulfahmi,Corner,93,41,98,3,95,43,,,,Second
LCS(H),2.Henriqu,Interception,93,42,97,43,-,-,,,,Second
HGU(A),37.Zulfahmi,Throw,93,49,83,2,89,10,,,,Second
HGU(A),30.Moritz,Cross,93,55,82,6,94,40,,cleared,,Second
LCS(H),14.Hariss,Interception,93,55,93,39,-,-,,,,Second
HGU(A),14.Kiki,Interception,93,58,76,30,-,-,,,,Second
LCS(H),5.Adli,Successful Pass,94,0,90,19,65,11,,,,Second
LCS(H),11.HafNor,Stray Pass,94,1,68,13,58,18,,,,Second
HGU(A),4.Nazrul,Successful Pass,94,4,60,19,71,40,,,,Second
HGU(A),30.Moritz,Successful Pass,94,8,70,40,80,29,,,,Second
HGU(A),30.Moritz,Successful Pass,94,15,75,32,84,9,,,,Second
HGU(A),37.Zulfahmi,Successful Pass,94,18,84,13,90,34,,,,Second
HGU(A),30.Moritz,Cross,94,22,95,27,99,43,,unsuccessful,,Second
LCS(H),18.Hassan,Successful Pass,94,34,95,43,92,63,,,,Second
LCS(H),2.Henriqu,Successful Pass,94,35,86,65,82,90,,,,Second
LCS(H),19.Naqi,Successful Pass,94,39,79,90,62,95,,,,Second
LCS(H),10.Lopes,Successful Pass,94,39,62,93,72,75,,,,Second
LCS(H),19.Naqi,Successful Pass,94,42,66,73,46,94,,,,Second
LCS(H),10.Lopes,Thru Pass,94,45,41,92,19,83,,,successful,Second
LCS(H),19.Naqi,Successful Pass,94,48,14,92,19,66,,,,Second
HGU(A),6.Kaishu,Interception,94,50,18,62,-,-,,,,Second
HGU(A),21.Nazhim,Successful Pass,94,53,11,74,25,58,,,,Second
HGU(A),37.Zulfahmi,Successful Pass,94,54,24,58,27,76,,,,Second
HGU(A),24.Amir,Successful Pass,94,56,31,75,40,91,,,,Second
HGU(A),14.Kiki,Thru Pass,94,59,47,81,78,48,,,successful,Second
HGU(A),9.Pedro,Shot,95,3,81,58,99,39,saved,,,Second
HGU(A),37.Zulfahmi,Cross,95,29,85,11,91,40,,cleared,,Second
LCS(H),9.Shinwook,Interception,95,29,92,38,-,-,,,,Second
HGU(A),2.Anders,Shot,95,32,74,54,99,45,off-target,,,Second
LCS(H),18.Hassan,Successful Pass,96,10,95,47,92,33,,,,Second
